Year,Month,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
2022,1,6.9,0,0,15,12,2,0,0,7,0,0,0,22,3,0,2,56,2662,744,7.07,0,41,46.2,35.8,220,210,30,46
2022,2,7.8,0,0,10,6,0,0,0,6,0,0,0,23,0,0,2.97,57,3303,641,5.32,0,42.1,47.8,36.4,200,210,25.9,38
2022,3,6.7,0,0,18,11,0,0,0,2,0,0,0,29,0,0,0.59,63,3863,560,3.32,0,46.9,53.1,40.8,210,220,25.1,36
2022,4,8.9,0,0,20,10,0,0,0,1,0,1,0,32,0,0,0.55,73,4401,538,2.72,0,47.1,54.7,39.5,240,240,30,46
2022,5,7.8,0,0,15,10,0,0,0,0,0,2,0,40,0,0,0.65,71,4785,384,3.82,0,52.6,60,45.2,210,210,29.1,41
2022,6,7.6,30,30,15,7,0,0,0,0,0,11,2,48,0,0,1.1,91,4930,146,2.68,0,61.1,69.1,53.2,210,200,23.9,33
2022,7,6.7,171,141,5,0,0,0,0,0,0,28,6,51,0,0,0.09,95,23,23,0.19,0,68.8,79.8,57.8,340,340,21,29
2022,8,7.2,330,159,2,0,0,0,0,0,0,31,4,53,0,0,0.03,91,27,4,0.05,0,70,80.9,59.1,350,350,18.1,27
2022,9,7.4,364,34,4,1,0,0,0,0,0,24,1,49,0,0,0.15,92,66,39,0.25,0,64.8,74.6,55.1,10,30,25.1,33
2022,10,6.5,375,11,8,7,0,0,0,0,0,11,0,41,0,0,0.64,88,305,239,2.51,0,57.6,66.2,49.1,200,210,23.9,37
2022,11,8.1,375,0,12,10,0,0,0,7,0,0,0,29,0,0.9,1.2,57,974,668,4.83,1.1,42,48.1,35.8,220,210,32,51
2022,12,8.7,375,0,24,16,4,1,0,13,2,0,0,18,2,2.6,1.52,57,1785,811,7.55,4.7,38.8,43.2,34.4,220,220,36.9,55
